Dénomination actuelle;Fondateur(s) / Dirigeant(s) / Point de contact;Contact email;Site internet;Siège social (département);Nombre de salariés;Chiffre d'affaires;Nombre d'utilisateurs;Accompagnement / Incubation;En recherche financement;Cumul levée de fonds;Type d'innovation;Type de produits / services;Sport ciblé;Type d’utilisateurs;Clientèle cible;Résumé;Type de structure;Dernière levée de fonds;Année de création;Siège social (pays);Cas d'usage;Clients / Références;Statut de la solution;Catégorisation;Intégration / Compatibilité;Stade de développement;Niveau d'implantation marché français;Caractéristiques clés / proposition de valeur;Page Linkedin;Modèle économique;Awards
Dacast;Stéphane Planchon (Président);NC (Formulaire de contact);https://www.dacast.com/;75 (Paris);51-100;;;;Non;;Médias / Streaming / OTT;Plateforme de vidéo en streaming en direct et à la demande (OTT, SaaS);Multisports (Diffusion);B2B;Média, Organisateur événement / compétition, Ayant Droit;Dacast est une plateforme d'hébergement et de diffusion vidéo en direct et à la demande pour les entreprises, permettant de créer des chaînes OTT pour diffuser du contenu vidéo, y compris des événements sportifs.;Éditeur (Global);;2010;États-Unis (équipe française initialement);Diffusion d'événements sportifs en streaming (PPV, abonnements);Organisateurs d'événements sportifs (B2B);Actif;Médias / Streaming / OTT, Data & analytics;Plateforme SaaS, API, Lecteur vidéo personnalisable;Commercialisation;Forte (International);Solution de streaming vidéo professionnelle, sécurisée et monétisable (VOD/PPV/Publicité).;https://www.linkedin.com/company/dacast-com/;Abonnement SaaS (B2B);
DANC·R;Adrien Bisset, Laure Colmard, Laure Leroy;hello@dancr.co;https://dancr.co;Paris (75);01-oct;<1 M€;101–500;SportTech;Oui;160 000 € ;Intelligence artificielle / Machine Learning, Réalité Virtuelle / Réalité Augmentée;Application de coaching de danse assisté par IA (SaaS/App mobile);Danse;B2B2C;Sportifs amateurs (Danseurs), Clubs de danse;Rendre l’éducation en danse plus accessible et personnalisée via les nouvelles technologies d'analyse de mouvement.;Start-up;;2023;France;Coaching à distance, analyse des mouvements et posture en danse, apprentissage assisté.;;Actif;Athletes & performance, Intelligence artificielle / Machine Learning;Application mobile (iOS, Android), Analyse vidéo (IA);Phase de lancement;National;Coaching de danse basé sur l'IA et l'analyse vidéo, permettant un feedback précis et immédiat.;https://www.linkedin.com/company/dancr;Abonnement (B2C), Abonnement (B2B - Écoles);
Dataxx;Clément Authier, Martin Masseline, Vincent Michelangeli;clement.authier@hec.edu;https://dataxx-martin-masselines-projects.vercel.app;Paris (75);01-oct;<1 M€;0–100;;Non;0;Intelligence artificielle / Machine Learning, Data / Analytics;Outil de tarification dynamique (SaaS);Football;B2B;Club professionnel, Organisateur événement / compétition;Optimiser les revenus et le remplissage des stades via IA et tarification dynamique des billets.;Start-up;;2023;France;Tarification dynamique des billets, optimisation du revenu (Yield Management), prédiction de remplissage.;;Actif;Billetterie / Ticketing / Hospitality, Data & analytics;SaaS Web, API;Développement / Lancement;National;Optimisation des revenus de billetterie grâce à un assistant virtuel basé sur l'IA et le Big Data.;https://www.linkedin.com/company/dataxx-billetterie-dynamique;Abonnement (SaaS), Commission sur l'incrément de revenu;
DeepSport;N/A (Fondé en 2020);info@deepsport.app;www.deepsportapp.com;Saray, Tekirdag;nov-50;;;Entertech İstanbul Teknokent, Bilgiyi Ticarileştirme Merkezi;Non;85 000 $;Intelligence artificielle / Machine Learning, Athletes & performance;Application mobile de fitness/coaching personnel alimentée par l'IA pour l'analyse de la posture en temps réel (via la caméra du téléphone).;Fitness, Exercices de musculation/corps entier;B2C;Sportif amateur, Fan / Supporter;DeepSport est une application mobile de fitness nouvelle génération alimentée par l'IA pour vous coacher en temps réel. Elle voit l'utilisateur à travers la caméra du téléphone, identifie les articulations, calcule les angles du corps et donne un retour vocal en temps réel sur la posture et la précision.;Start-up;85 000 $;2020;Turquie;Coaching virtuel à domicile, analyse de la technique et prévention des blessures pendant l'exercice.;;Actif;Athletes & performance, Intelligence artificielle / Machine Learning;Application mobile, utilisation de la caméra du téléphone;Génération de revenus;Faible;Coaching par IA en temps réel pour analyser la forme et la posture des exercices (posture correcte, précision, répétitions).;https://www.linkedin.com/company/deepsportapp/;Abonnement (B2C);
Deeptimize;Antoine Pirovano, Guillaume Vaudaux-Ruth;antoine.pirovano@deeptimize.com;https://www.deeptimize.com;Paris (75);01-oct;<1 M€;0–100;SportTech;Oui;900 000 € ;Intelligence artificielle / Machine Learning, Data / Analytics;Outils d’IA pour l’analyse vidéo de performance et l'engagement des audiences (SaaS);Football, Rugby, Judo, Autres sports collectifs et de combat;B2B;Club professionnel, Fédération, Média;Outils d’IA pour l’analyse vidéo de performance et engagement des audiences (identification d'actions clés, statistiques avancées).;Start-up;;2021;France;Analyse tactique et statistique des matchs via IA, création automatique de clips pour les médias.;Stade Toulousain, Fédérations;Actif;Athletes & performance, Data & analytics, Médias / Streaming / OTT;Plateforme SaaS, API, Intégration caméras;Phase de commercialisation;National;Analyse vidéo basée sur une IA de Computer Vision pour décrypter le jeu et créer du contenu engageant.;https://www.linkedin.com/company/deeptimize;Abonnement (SaaS);
Diago;;NC (Formulaire de contact);https://www.diagoapp.fr/;75 (Paris);01-oct;;;;Oui;;Intelligence artificielle / Machine Learning, Data / Analytics;Application mobile d'entraînement sportif personnalisée;Multisports;B2C;Sportif amateur;Application mobile utilisant l'IA pour créer des programmes d'entraînement personnalisés et évolutifs basés sur les données de l'utilisateur et ses objectifs.;Start-up;;2023;France;Création de programmes d'entraînement sur mesure et suivi de la progression;;Actif;Athletes & performance, Intelligence artificielle / Machine Learning;Application mobile;Développement / Commercialisation;Faible (Très récente);Coaching sportif basé sur l'IA, personnalisation de l'entraînement, suivi de la progression.;https://www.linkedin.com/company/diagoapp/;Abonnement (Freemium/Premium B2C);
Digital Test Center;;;https://www.digitaltestcenter.com/fr/;;;;;;;;;Plateforme de tests numériques et logiciels;;B2B;Entreprise;Entreprise spécialisée dans les tests numériques (logiciels, applications, UX) et l'assurance qualité. Le lien avec le sport n'est pas explicité sur le site principal.;Agence;;;;Optimisation de la qualité et des performances des plateformes digitales;;Actif;NC (Douteux pour Sport Tech);Plateforme SaaS;Commercialisation;;Services d'assurance qualité logicielle (QA) et tests digitaux.;https://www.linkedin.com/company/digital-test-center/;Prestations de services (B2B);
DineticQ;Dr. James MASON (CEO/Co-Founder);hello@dineticq.com;www.dineticq.com/;Loughborough, Leicestershire;01-oct;;;Loughborough University Spin-Out;Non;297 000 $;Intelligence artificielle / Machine Learning, Athletes & performance;Logiciel d'analyse de mouvement pour les athlètes, offrant feedback et coaching pour améliorer la performance et éviter les blessures (fractures de stress du dos).;Multisport (Aviron, Cyclisme, Course à pied - biomécanique);B2B;Staff technique, Sportif professionnel, Club professionnel;Logiciel qui offre des commentaires, des recommandations d'entraînement et une analyse technique, permettant aux athlètes d'analyser leurs actions, les aidant à améliorer les performances et à éviter d'éventuelles fractures de stress du dos.;Start-up (Spin-Out Universitaire);149 999 £;2021;Royaume-Uni;Analyse biomécanique pour l'optimisation de la performance et la prévention des blessures (notamment stress fractures du dos).;;Actif;Athletes & performance, Data & analytics;Logiciel d'analyse de mouvement basé sur l'IA;Jeune entreprise;Faible;Logiciel d'analyse de mouvement basé sur l'IA, axé sur la prévention des blessures spécifiques (dos).;https://www.linkedin.com/company/dineticq/;Abonnement (SaaS B2B);
DOINSPORT;Nicolas Cassignol, Rémi Chevalier (Co-fondateurs);NC (Formulaire de contact);https://doinsport.com/;13 (Bouches-du-Rhône);21-50;;;;Non;;Automatisation / Robotique, Data / Analytics;Logiciel et Application de gestion de centres sportifs et de réservation;Football (Foot à 5/7), Padel, Squash, Multisports;B2B, B2C;Fournisseur biens / services (dont salles), Sportif amateur;Logiciel et application mobile dédiés à la gestion et à la réservation de terrains/salles de sports privés (Foot à 5, Padel, etc.), simplifiant l'administration des centres et la pratique des utilisateurs.;Start-up / Éditeur;;2016;France;Gestion complète d'un centre sportif (réservation, paiement, fidélisation);Plus de 400 centres partenaires;Actif;Gestion / Management, Venue Management / Gestion de salle / Operations;SaaS, Application mobile;Commercialisation;Forte;Solution tout-en-un pour la gestion de centres sportifs et la réservation en ligne.;https://www.linkedin.com/company/doinsport/;Abonnement SaaS B2B, Commission sur les réservations;
Dokeop;Yoann Desgeorges (Fondateur/Dirigeant);contact@dokeop.com;https://www.dokeop.com/;31 (Haute-Garonne);01-oct;;3000+ structures clientes;Accompagnée et soutenue par l'écosystème tech de la région Occitanie;Non;;Automatisation / Robotique, Data / Analytics;Logiciel SaaS (Software as a Service) et Application Mobile;Multi-sports;B2B, B2C, B2B2C;Club amateur / Association, Fédération, Ligue / Comité;Dokeop est une plateforme SaaS de gestion collaborative et de simplification administrative dédiée aux clubs et associations sportives. La solution permet de centraliser la gestion des adhésions, la communication avec les membres, la facturation et la gestion des plannings.;Start-up / Éditeur;;2019;France;Simplification des inscriptions et paiements en ligne, automatisation des relances de cotisations, communication centralisée.;Plus de 3 000 structures sportives clientes.;Actif;Gestion / Management, Data & analytics;Intégration avec des solutions de paiement (Stripe, HelloAsso), export comptable.;Solution commercialisée et déployée sur de nombreux clubs;Très forte (Cible principale : associations françaises);Gestion des adhésions 100% en ligne, module de facturation et relances automatiques, outil de communication ciblée, gestion des plannings d'activités.;https://fr.linkedin.com/company/dokeop;Abonnement SaaS annuel ou mensuel.;Non trouvée directement
Domaine du Net / Appli en Direct;Julien Trotoux;julien@domainedunet.fr;https://appliendirect.fr;Ille-et-Vilaine (35);01-oct;>100 M€;>100 000;SportTech;Oui;0;Fan Experience / Fan engagement;Création d'applications mobiles sur mesure pour événements sportifs (SaaS);Football, Golf, Trail, Triathlon, Tous sports;B2B;Club professionnel, Fédération, Organisateur événement / compétition;Digitaliser l’expérience des supporters et participants via apps mobiles personnalisées (infos, résultats, billetterie, etc.).;Agence;;2013;France;Expérience jour de match/événement, centralisation de l'information (live, billetterie, contenus).;Fédérations, clubs sportifs (ex: FFF);Actif;Fan Experience / Fan engagement, Venue Management / Gestion de salle / Operations, Médias / Streaming / OTT;Applications mobiles natives (iOS, Android), CMS dédié;Établi;National;Solution complète d'applications mobiles marque blanche pour structurer la relation club/fan.;https://www.linkedin.com/company/domainedunet;Prestation de services, Abonnement (SaaS);
DR SPORT;Guillaume Lanneau (Co-fondateur/Dirigeant);contact@drsport.fr;https://drsport.fr/;44 (Loire-Atlantique);01-oct;;;;Non;;NC (Kinésithérapie / Conseil);Services de kinésithérapie du sport, rééducation, conseils;Multisports;B2C, B2B;Sportif amateur, Sportif professionnel, Staff technique;Centre de kinésithérapie du sport et plateforme de conseils spécialisés. L'innovation est principalement dans le service de santé (non-Tech).;Autre (Cabinet/Centre de santé);;2017;France;Soins de kinésithérapie, prévention des blessures, conseils sportifs;;Actif;Athletes & performance (Santé), RSE & durabilité (Bien-être);;Établi;Local/Régional;Expertise en kinésithérapie du sport, conseils en ligne.;https://fr.linkedin.com/company/dr-sport-kin%C3%A9sith%C3%A9rapie-du-sport/;Services de consultation et de soin;
drillstars;;info@drillstars.com;drillstars.com;Munich, Bayern;01-oct;Less than $1M;;;Non;N/A (Funding round en 2024);Data / Analytics, Gestion / Management;Application mobile de gestion d'équipe, plans d'entraînement personnalisés, rapports de performance et exercices pour les joueurs.;Football/Soccer (principalement), Multisport;B2B, B2C;Club amateur / Association, Staff technique, Sportif amateur;drillstars est une application mobile qui fournit des plans d'entraînement, des rapports de performance et des services de gestion d'équipe. De plus, elle propose des entraînements d'équipe et des exercices individuels pour les joueurs.;Start-up;;2021;Allemagne;Planification des entraînements, communication d'équipe, suivi des performances individuelles et collectives pour les clubs amateurs.;Clubs sportifs amateurs;Actif;Athletes & performance, Gestion / Management;Application mobile (iOS, Android);Établi;Faible;Application mobile tout-en-un pour la gestion d'équipe et la personnalisation de l'entraînement des joueurs amateurs (plans, exercices, rapports).;https://www.linkedin.com/company/drillstars/;Abonnement (SaaS B2B et B2C);
DROP;NC (Lié à Usedrop.io);NC (Formulaire de contact);https://www.usedrop.io/;75 (Paris);01-oct;;;;Non;;NC (Logistique E-commerce);Plateforme de logistique et distribution pour e-commerce;Retail & merchandising (Logistique);B2B;Entreprise, Fournisseur biens / services (dont salles);Plateforme permettant aux entreprises de simplifier leur logistique e-commerce (stockage, préparation de commande, livraison). Le lien avec le sport est par l'utilisation de la plateforme par des acteurs du retail sportif.;Start-up;;2024;France;Optimisation de la chaîne logistique e-commerce;Acteurs du E-commerce (B2B);Actif;Retail & merchandising;SaaS logistique;Commercialisation;Faible;Logistique externalisée simplifiée pour l'e-commerce.;https://www.linkedin.com/company/usedrop/;Abonnement SaaS + Prestations logistiques;
